id,postCode,postName,postAddress,dairaName,wilayaCode,wilayaName
41,01064,Adrar Cité Universitaire,Cité University Tillilane,Adrar,01,Adrar
42,01065,Adrar Gare Routiere,Adrar Gare Routierre,Adrar,01,Adrar
43,01067,Reggane Cheikh Moulay Abdellah El Reggani,"Reggane El Djadida,Adrar",Reggane,01,Adrar
44,01069,Tiouririne,Tiouririne,Zaouiat Kounta,01,Adrar
45,01071,Adrar Bureau Itinerant 1,,Adrar,01,Adrar
46,01073,Tanzroufte,Tanzroufte,Reggane,01,Adrar
47,01074,Aoulef Tidiklete,Aoulef Tidiklete,Aoulef,01,Adrar
48,04015,Berriche,Cité Boudiaf,Reggane,01,Adrar
49,06138,Sidi Aich Timzaghra,Sidi Aich,Adrar,01,Adrar
50,02000,Chlef,Rue Du 20 Aout,Chlef,02,Chlef
51,02001,Oued Fodda Moussalaha,Oued Fodda Centre,Oued Fodda,02,Chlef
52,02002,Boukadir,Route Nationale Nâ°04 Boukadir,Boukadir,02,Chlef
53,02003,Oued Fodda,Route Nationale Nâ°04 Oued Fodda,Oued Fodda,02,Chlef
54,02004,Ain Merane,Ain Merane Centre,Ain Merane,02,Chlef
55,02005,Chlef Bensouna,Hay Bensouna,Chlef,02,Chlef
56,02006,Tenes,Rue Kosier Tenes Centre Tenes,Tenes,02,Chlef
57,02007,Chlef Chettia,Annexe,Ouled Fares,02,Chlef
58,02008,El Karimia,El Karimia Centre,El Karimia,02,Chlef
59,02009,Sidi Akacha,Route Nationale Nâ°19 Sidi Akkacha,Tenes,02,Chlef
60,02010,Ouled Fares,Ouled Fares Centre,Ouled Fares,02,Chlef
61,02011,Oued Sly,Oued Sly Centre,Boukadir,02,Chlef
62,02012,Taougrite,Taougrite Centre,Taougrit,02,Chlef
63,02013,Chlef Cité Administrative,Rue De La Resistance,Chlef,02,Chlef
64,02014,Zeboudja,Zeboudja Centre,Zeboudja,02,Chlef
65,02015,El Marsa,El Marsa,El Marsa,02,Chlef
66,02016,Ahmed Khalfaoui,Zone 2,Chlef,02,Chlef
67,02017,Beni Haoua,Beni Haoua,Beni Haoua,02,Chlef
68,02018,Abou El Hassan,Abou El Hassen,Abou El Hassane,02,Chlef
69,02019,Heumis Ain Beida,La Gare,Zeboudja,02,Chlef
70,02020,Chettia Vsa,Chettia Vsa,Ouled Fares,02,Chlef
71,02021,Bouzghaia,Rn19,Zeboudja,02,Chlef
72,02022,Chlef Hai Badr,Zone 3,Chlef,02,Chlef
73,02023,Chlef Hay Nasr,Zone 5,Chlef,02,Chlef
74,02024,Oum Drou,Oum Drou,Chlef,02,Chlef
75,02025,Sendjas,Sendjas,Chlef,02,Chlef
76,02026,Boukadir El Houria,Hay El Houria Boukadir,Boukadir,02,Chlef
77,02027,Tenes Mohamed Boudiaf,Tã‰nãˆs Centre,Tenes,02,Chlef
78,02028,El Athmania,El Atmania,Boukadir,02,Chlef
79,02029,Ouled Abbes,Ouled Abbes,Oued Fodda,02,Chlef
80,02030,Ouled Ziad,Ouled Ziad,Boukadir,02,Chlef
81,02031,Harchoun,Harchoun,El Karimia,02,Chlef
82,02032,Sidi Moussa,Sidi Moussa,Taougrit,02,Chlef
83,02033,Sobha,Sobha,Boukadir,02,Chlef
84,02034,Bir Saf Saf,Bir Saf Saf,Oued Fodda,02,Chlef
85,02035,Beni Rached,Beni Rached,Oued Fodda,02,Chlef
86,02036,Dahra,Dahra,Taougrit,02,Chlef
87,02037,Ouled Ben Abdelkader,Ouled Ben Aek,Ouled Ben Abdelkader,02,Chlef
88,02038,Herenfa,Herenfa,Ain Merane,02,Chlef
89,02039,Benaria,Benairia,Zeboudja,02,Chlef
90,02040,Ain Serdoune,Ain Serdoune,Ain Merane,02,Chlef
91,02041,Chlef Sahli,Hay Sahli,Chlef,02,Chlef
92,02042,Chlef Lalla Aouda,Hay Lalla Aouda,Chlef,02,Chlef
93,02043,Tadjena,Tadjna Centre,Abou El Hassane,02,Chlef
94,02044,El Kalaa Bouhallou,El Kalaa Bouhallou,Tenes,02,Chlef
95,02045,Chlef Hay Abbad,Hay Abbad,Chlef,02,Chlef
96,02046,Guelta,Guelta,El Marsa,02,Chlef
97,02047,Kechachda,Kechachda,Zeboudja,02,Chlef
98,02048,Attatfa,Kherba,Zeboudja,02,Chlef
99,02049,Labiodh Medjadja,Kherrara,Chlef,02,Chlef
100,02050,El Hadjadj,El Hadjadj,Ouled Ben Abdelkader,02,Chlef
101,02051,Haouch El Ghaba,Haouch El Ghaba,Ouled Fares,02,Chlef
102,02052,Zelgou,Zelgou,Zeboudja,02,Chlef
103,02053,Chouchaoua,Petit Barrage,El Karimia,02,Chlef
104,02054,Zemoura,Zemoura,Ouled Ben Abdelkader,02,Chlef
105,02055,Si Belkacem,Caper,Ouled Fares,02,Chlef
106,02056,Oued Sly Hay Houria,Hay Sonelgaz,Boukadir,02,Chlef
107,02057,Chlef Chegga,Hay Chegga,Chlef,02,Chlef
108,02058,Boulefred,Hay Boulefred,Boukadir,02,Chlef
109,02059,Ouled Fetti,Ouled Fetti,Boukadir,02,Chlef
110,02060,Moussadek,Moussadek,El Marsa,02,Chlef
111,02061,Oued Goussine,Oued Goussine,Beni Haoua,02,Chlef
112,02062,Vieux Tenes,Vieux Tenes,Tenes,02,Chlef
113,02063,Dar El Meddah,Dar El Meddah,Abou El Hassane,02,Chlef
114,02064,Chaarir,Chaarir,Tenes,02,Chlef
115,02065,Talassa,Talassa,Abou El Hassane,02,Chlef
116,02066,Sidi Abderrahmane,Sidi Abderahmane,Tenes,02,Chlef
117,02067,Reggoun,Reggoun,Tenes,02,Chlef
118,02068,Main Sinfita,Main Sinfita,Zeboudja,02,Chlef
119,02069,Beni Ouazane,Beni Ouazene,Ouled Ben Abdelkader,02,Chlef
120,02070,Breira,Breira,Beni Haoua,02,Chlef
121,02071,Beni Bouatteb,Beni Bouateb,El Karimia,02,Chlef
122,02072,Chaabnia,Chaabnia,Taougrit,02,Chlef
123,02073,Meddina,Meddina,Ouled Fares,02,Chlef
124,02074,Ouled Berradjah,Ouled Berradjah,Ain Merane,02,Chlef
125,02075,Guelaftia,Guelaftia,Chlef,02,Chlef
126,02076,Beni Oudrene,Beni Oudrene,Chlef,02,Chlef
127,02077,Ouled Bouali,Ouled Bouali,Oued Fodda,02,Chlef
128,02078,Mezaout,Mezaouet,El Karimia,02,Chlef
129,02079,Bouhenyene,Bouhenyenne,Oued Fodda,02,Chlef
130,02080,Zebabdja,Zebabdja,Oued Fodda,02,Chlef
131,02081,Kahloul,Kahloul,Abou El Hassane,02,Chlef
132,02082,Razim Maamar,Cinq Palmier,Ouled Fares,02,Chlef
133,02083,Bordj Baal,Bordj Baal,Taougrit,02,Chlef
134,02084,Daid Mohamed,Sidi Aissa,Taougrit,02,Chlef
135,02085,Chachou Ali,Sidi Medoul,El Karimia,02,Chlef
136,02086,Boukadir A.Slimani,Douaidia,Boukadir,02,Chlef
137,02087,Chettia B.Djayahia,Zone 9,Ouled Fares,02,Chlef
138,02088,Chlef B Frahi,712 Logts,Chlef,02,Chlef
139,02089,Sidi Ziane,Sidi Ziane,Abou El Hassane,02,Chlef
140,02090,Chlef Freres Khelif,Hay Badr Aadl,Chlef,02,Chlef
141,02091,Chlef Hay Es Salam,Hay Es Salam,Chlef,02,Chlef
142,02092,Ouled Fares Cité Uni,Cité Universitaire,Ouled Fares,02,Chlef
143,02093,El Fellaguia Guendez Djillali,Hai El Fellaguia,Zeboudja,02,Chlef
144,02094,Chlef Mohamed Kouadri,"Cité Des Employes,Chlef Centre",Chlef,02,Chlef
145,02095,Ain Merane Tahar Mohamed,"Centre Ville D'Ain Merane,Chlef",Ain Merane,02,Chlef
146,02096,Herenfa Cheikh El Habib,"Localite D'Ain Serague,Herenfa",Ain Merane,02,Chlef
147,02097,Oued Sly Boukfoussa Ghoul Charef,,Boukadir,02,Chlef
148,02098,Chlef Gare Routiere,Chlef Gare Routiere,Chlef,02,Chlef
149,02099,Chlef Ali Hadji Ahmed,,Chlef,02,Chlef
150,,Chlef Base Aerienne,Base Aerienne,Chlef,02,Chlef
151,02100,Chlef Etablissement Postal Itinerant 1,,Chlef,02,Chlef
152,05084,El Hadjadj,El Hadjadj,Ouled Ben Abdelkader,02,Chlef
153,10046,Zeboudja,Zeboudja 10221,Zeboudja,02,Chlef
154,14028,Sidi Abderrahmane,Rue Beria Mohamed,Tenes,02,Chlef
155,16061,Sidi Moussa,Route Dar Beida Sidi Moussa,Taougrit,02,Chlef
156,16115,El Marsa,Rue Principale El Marsa,El Marsa,02,Chlef
157,26073,Sidi Ziane,Sidi Ziane Centre,Abou El Hassane,02,Chlef
158,41042,Ouled Abbes,Cité Ouled  Abbes,Oued Fodda,02,Chlef
159,45036,Sidi Moussa,Village Sidi Moussa,Taougrit,02,Chlef
160,48058,Ouled Bouali,Ouled Bouali,Oued Fodda,02,Chlef
161,03000,Laghouat,Laghouat,Laghouat,03,Laghouat
162,03001,Aflou,Aflou,Aflou,03,Laghouat
163,03002,Laghouat Maamourah,Maamourah,Laghouat,03,Laghouat
164,03003,Ksar El Hirane,Ksar Elhirane,Ksar El Hirane,03,Laghouat
165,03004,Hassi R'Mel,Hassi R'Mel,Hassi R'mel,03,Laghouat
166,03005,Brida,Brida,Brida,03,Laghouat
167,03006,Laghouat El Makam,El M'Kam,Laghouat,03,Laghouat
168,03007,Tadjemout,Tadjemout,Ain Madhi,03,Laghouat
169,03008,Bellil,Bellil,Hassi R'mel,03,Laghouat
170,03009,Hassi R'Mel 1er Nov.,Hassi R'Mel 1er Nov,Hassi R'mel,03,Laghouat
171,03010,El Kheneg,El Kheneg,Ain Madhi,03,Laghouat
172,03011,Tadjerouna,Tadjerouna,Ain Madhi,03,Laghouat
173,03012,Ain Madhi,Ain Madhi,Ain Madhi,03,Laghouat
174,03013,Beidha,Beidha,Gueltat Sidi Saad,03,Laghouat
175,03014,El Assafia,El Assafia,Sidi Makhlouf,03,Laghouat
176,03015,Laghouat Essadikia,Essadikia,Laghouat,03,Laghouat
177,03016,Laghouat Cité Nord,Cité Nord,Laghouat,03,Laghouat
178,03017,Laghouat 1er Nov.,Laghouat 1er Nov,Laghouat,03,Laghouat
179,03018,Laghouat Emir Aek (Gare Routiere),Laghouat Emir Aek,Laghouat,03,Laghouat
180,03019,Sidi Makhlouf,Sidi Makhlouf,Sidi Makhlouf,03,Laghouat
181,03020,Aflou Hay El Gaada,Aflou Hay Elgaada,Aflou,03,Laghouat
182,03021,Aflou Hai Med Boudiaf,Aflou Med Boudiaf,Aflou,03,Laghouat
183,03022,Hassi Dalaa,Hassi Delaa,Hassi R'mel,03,Laghouat
184,03023,El Ghicha,El Ghicha,El Ghicha,03,Laghouat
185,03024,Sidi Bouzid,Sidi Bouzid,Aflou,03,Laghouat
186,03025,Gueltat Sidi Saad,Gueltat Sidi Saad,Gueltat Sidi Saad,03,Laghouat
187,03026,Taouiala,Taouiala,Brida,03,Laghouat
188,03027,Oued Mourra,Oued Mourra,Oued Morra,03,Laghouat
189,03028,Ain Sidi Ali,Ain Sidi Ali,Gueltat Sidi Saad,03,Laghouat
190,03030,Ain Skhouna,Ain Skhouna,Aflou,03,Laghouat
191,03031,Chekkala,Chekkala,Aflou,03,Laghouat
192,03032,Bordj Senouci,Bordj Senouci,Laghouat,03,Laghouat
193,03033,Benacer Benchohra,Benacer Benchohra,Ksar El Hirane,03,Laghouat
194,03034,Sebgag,Sebgag,Aflou,03,Laghouat
195,03035,Terghalel,Terkellel,El Ghicha,03,Laghouat
196,03036,Laghouat Djamia,Laghouat Djamiaa,Laghouat,03,Laghouat
197,03037,Anfous,Anfous,El Ghicha,03,Laghouat
198,03038,Hadj Mecheri,Hadj Mecheri,Brida,03,Laghouat
199,03040,El Houita,El Houita,Ain Madhi,03,Laghouat
200,03041,Oued M'Zi,Oued M'Zi,Oued Morra,03,Laghouat
201,03042,Lalmaya,Lalmaya,Ain Madhi,03,Laghouat
202,03043,Oued Touil,Oued Touil,Gueltat Sidi Saad,03,Laghouat
203,03044,Hassiane Dhib,Hassiane Dhib,Gueltat Sidi Saad,03,Laghouat
204,03046,Bouzbaeir,Bouzbaeir,Hassi R'mel,03,Laghouat
205,03047,Aflou Zaoui Said,Aflou Zaoui Said,Aflou,03,Laghouat
206,03048,Laghouat D C A,Laghouat Dca,Laghouat,03,Laghouat
207,03049,Laghouat Pole 1,Laghouat Pole 1,Laghouat,03,Laghouat
208,03050,Aflou Universite,Aflou Universite,Aflou,03,Laghouat
209,03051,Laghouat Air,Laghouat Air,Laghouat,03,Laghouat
210,03052,Laghouat El Wiam,Laghouat El Wiam,Laghouat,03,Laghouat
211,03053,Aflou 01 Mai,Aflou 01 Mai,Aflou,03,Laghouat
212,03054,Laghouat Pole Universitaire 2,Laghouat Pole Universitaire 2,Laghouat,03,Laghouat
213,,Laghouat Dhalaa,Laghouat Dhalaa,Laghouat,03,Laghouat
214,,El Hadjeub,"Route Nationale N° 23 Reliant La Wilaya De Laghouat A Tiaret,Village El Hadjeub",Ain Madhi,03,Laghouat
215,04000,Oum El Bouaghi,Bd Houari Boumediene,Oum El Bouaghi,04,Oum El Bouaghi
216,04001,Ain Beida,Bd Mohamed Khemisti,Ain Beida,04,Oum El Bouaghi
217,04002,Ain M'Lila,Rue Du 1er Novembre,Ain M'lila,04,Oum El Bouaghi
218,04003,Oum El Bouaghi H Boumediene,Nouvelle Ville Makomadas,Oum El Bouaghi,04,Oum El Bouaghi
219,04004,Meskiana,Rue Du 1er Novembre,Meskiana,04,Oum El Bouaghi
220,04005,Ain Fakroun,Rue Radjai Ammar,Ain Fekroun,04,Oum El Bouaghi
221,04006,Ain Kercha,Rue Draga Maouche,Ain Kercha,04,Oum El Bouaghi
222,04007,Ain Beida Laazabi,Cité Lazabi,Ain Beida,04,Oum El Bouaghi
223,04008,Dhalaa,Rue Du 1er Novembre,Dhalaa,04,Oum El Bouaghi
224,04009,Oum El Bouaghi An Nasr,Cité An Nasr,Oum El Bouaghi,04,Oum El Bouaghi
225,04010,Souk Naamane,Rue Ben Boulaid,Souk Naamane,04,Oum El Bouaghi
226,04011,Sigus,Rue Du 1er Novembre,Sigus,04,Oum El Bouaghi
227,04012,Henchir Toumghani,Rue De L'Independance,Ain Kercha,04,Oum El Bouaghi
228,04013,F'Kirina,Route Nationale Nâ°10,F'kirina,04,Oum El Bouaghi
229,04014,Ain M'Lila Gouadjlia,Route Nationale Nâ°10,Ain M'lila,04,Oum El Bouaghi
230,04016,Ain Fakroun Satha,Cité Satha,Ain Fekroun,04,Oum El Bouaghi
231,04017,Ain M'Lila Ben M'Hidi,Rue Du 1er Novembre,Ain M'lila,04,Oum El Bouaghi
232,04018,Ksar Sbahi,Cité El Boustane,Ksar Sbahi,04,Oum El Bouaghi
233,04019,Ouled Hamla,Rue Nationale,Ain M'lila,04,Oum El Bouaghi
234,04020,Ain Babouche,Route De Batna,Ain Babouche,04,Oum El Bouaghi
235,04021,Bir Chouhada,Rue Du 1er Novembre 54,Souk Naamane,04,Oum El Bouaghi
236,04022,Berririche,Berririche,Ain Beida,04,Oum El Bouaghi
237,04023,Ain Zitoun,Ain Zitoun,Oum El Bouaghi,04,Oum El Bouaghi
238,04024,Ain Ferhat,Ain Ferhat,Ain Beida,04,Oum El Bouaghi
239,04025,Bir Amar,Bir Amar,Ain Babouche,04,Oum El Bouaghi
240,04026,Behair Chergui,Behair Chergui,Meskiana,04,Oum El Bouaghi
241,04027,Bir Rogaa,Bir Rogaa,Ain Beida,04,Oum El Bouaghi
242,04028,Touzeline,Touzeline,Oum El Bouaghi,04,Oum El Bouaghi
243,04029,Sidi R'Ghiss M'Zi,Sidi Reghiss,Oum El Bouaghi,04,Oum El Bouaghi
244,04030,Bir Khechba,Bir Khechba,Oum El Bouaghi,04,Oum El Bouaghi
245,04032,Harmelia,Harmelia,Ain Kercha,04,Oum El Bouaghi
246,04033,Soualhia,Cité Soualhia,Ain M'lila,04,Oum El Bouaghi
247,04034,Bir Tandja,Bir Tandja,Sigus,04,Oum El Bouaghi
248,04035,Taxas,Taxas,Sigus,04,Oum El Bouaghi
249,04037,Ouled Zaid,Ouled Zaid,Ain M'lila,04,Oum El Bouaghi
250,04038,Ouled Naceur,Ouled Naceur,Sigus,04,Oum El Bouaghi
251,04039,Henchir Laatache,Henchir Laatache,Ain M'lila,04,Oum El Bouaghi
252,04040,El Djazia,El Djazia,Dhalaa,04,Oum El Bouaghi
253,04041,Ouled Gacem,Ouled Gacem,Ain M'lila,04,Oum El Bouaghi
254,04042,Bougherara Fedjoudj,Bougherara Lefdjoudj,Ain Fekroun,04,Oum El Bouaghi
255,04043,Ain El Bordj,Ain El Bordj,Sigus,04,Oum El Bouaghi
256,04044,El Bellala,El Bellala,Meskiana,04,Oum El Bouaghi
257,04045,Rahia,Rue De L'Aln,Meskiana,04,Oum El Bouaghi
258,04046,Bir Ounes,Bir Ouanas,Ain Beida,04,Oum El Bouaghi
259,04047,Henchir Douames,Henchir Douames,F'kirina,04,Oum El Bouaghi
260,04048,Ain Beida 1er Novembre,,Ain Beida,04,Oum El Bouaghi
261,04049,Oum El Bouaghi Air,Base Aerienne,Oum El Bouaghi,04,Oum El Bouaghi
262,04050,Oum El Bouaghi 18 Fevrier,Rue Meraihi Said,Oum El Bouaghi,04,Oum El Bouaghi
263,04051,Ain Benayad,Ain Benayad,Ain Beida,04,Oum El Bouaghi
264,04052,Garaa Saida,Garaa Saida,Ain Kercha,04,Oum El Bouaghi
265,04053,Sila,Sila,Sigus,04,Oum El Bouaghi
266,04054,Oum El Bouaghi Ben Boulaid,Coite Ben Boulaid,Oum El Bouaghi,04,Oum El Bouaghi
267,04055,Oum El Bouaghi Terre,Caserne Cist 555,Oum El Bouaghi,04,Oum El Bouaghi
268,04056,Oum El Bouaghi Universite,Universite Larbi Ben M'Hidi,Oum El Bouaghi,04,Oum El Bouaghi
269,04057,Ain Beida Saidi Djemoi,Cité Saidi Djemoi,Ain Beida,04,Oum El Bouaghi
270,04058,Meskiana Belfetni Daoudi,Rue Belfetni Daoudi,Meskiana,04,Oum El Bouaghi
271,04059,Ain M'Lila Darak,Ecole Nationale De La Gendarmerie,Ain M'lila,04,Oum El Bouaghi
272,04060,El Amiria El Amel,El Amiria,Sigus,04,Oum El Bouaghi
273,04061,Ain M'Lila 05 Juillet,"Cité Ain M'Lila 05 Juillet,Oum El Bouaghi",Ain M'lila,04,Oum El Bouaghi
274,04062,Ain Beida 20 Aout,Cité Askri Cherif Situee Au Sud Est De La Ville D'Ain Beida,Ain Beida,04,Oum El Bouaghi
275,04063,Ain Kercha Essalam,Ain Kercha Essalam,Ain Kercha,04,Oum El Bouaghi
276,04064,Ain Fakroun Bekkouche Aissa,,Ain Fekroun,04,Oum El Bouaghi
277,04065,Ain Beida El Kahina,,Ain Beida,04,Oum El Bouaghi
278,04066,Sigus 20 Aout 1955,Sigus 20 Aout 1955,Sigus,04,Oum El Bouaghi
279,04067,Souk Naamane Houari Boumedienne,,Souk Naamane,04,Oum El Bouaghi
280,04068,Ain Fakroun Afak 2,Ain Fakroun Afak 2,Ain Fekroun,04,Oum El Bouaghi
281,10048,Ain Beida,Ain Beida 10231,Ain Beida,04,Oum El Bouaghi
282,10078,Ouled Gacem,Ouled Gacem 10242,Ain M'lila,04,Oum El Bouaghi
283,12050,Ouled Naceur,Village Ouled Naceur,Sigus,04,Oum El Bouaghi
284,14039,Ain Beida,Ain Beida,Ain Beida,04,Oum El Bouaghi
285,30019,Ain Beida,Route Nationale N°206,Ain Beida,04,Oum El Bouaghi
286,31039,Ain Beida,02 Cité Saad Ahmed  Ain Beida Oran,Ain Beida,04,Oum El Bouaghi
287,34053,Ouled Zaid,Ouled Zaid,Ain M'lila,04,Oum El Bouaghi
288,46028,Ain Beida,Ain Beida,Ain Beida,04,Oum El Bouaghi
289,05000,Batna,Cité Des 410 Logts Ex Ecotec Batna,Batna,05,Batna
290,05001,Barika,Centre Ville Barika,Barika,05,Batna
291,05002,Ain Touta,Route De Biskra,Ain Touta,05,Batna
292,05003,Batna Ben Boulaid,Alees Ben Boulaid,Batna,05,Batna
293,05004,N'Gaous,Cité Administratif,N'gaous,05,Batna
294,05005,Batna Mebarki,Cité Lambarkia,Batna,05,Batna
295,05006,Batna 1er Novembre,Freres Bouabsa Batna,Batna,05,Batna
296,05007,Arris,Place Ben Boulaid,Arris,05,Batna
297,05008,Batna Freres Khezzar,Cité 742 Logts,Batna,05,Batna
298,05009,Ras El Aioun,Centre Ville Ras El Aioun,Ras El Aioun,05,Batna
299,05010,Batna Hadj Lakhdar,Cité 800 Logts,Batna,05,Batna
300,05011,Tazoult Lambese,Centre Ville Tazoult,Tazoult,05,Batna
301,05012,Menaa,Centre Ville Menaa,Menaa,05,Batna
302,05013,Merouana,Route Ras El Aioun,Merouana,05,Batna
303,05014,Batna An Nasr,Cité An Nasr,Batna,05,Batna
304,05015,Rehal Abdelaziz (El Madher),Centre Ville El Madher,El Madher,05,Batna
305,05016,Oued El Ma,Centre Ville Oued El Ma,Merouana,05,Batna
306,05017,Batna Emir Abdelkader,Cité Emir Abdelkader,Batna,05,Batna
307,05018,Batna Imadghassen (Aéroport),Aeroport Batna,Batna,05,Batna
308,05019,N'Gaous 5 Juillet,N'Gaous Centre Ville,N'gaous,05,Batna
309,05020,T'Kout,T'Kout Centre,Tkout,05,Batna
310,05021,Batna El Boustene,Cité El Boustene,Batna,05,Batna
311,05022,Barika Liberte,Cité Liberte,Barika,05,Batna
312,05023,Timgad,Route Des Ruinestimgad,Timgad,05,Batna
313,05024,Arris Mezoudji Amor,Cité Mezoudji Amor,Arris,05,Batna
314,05025,Seriana,Centre Ville Seriana,Seriana,05,Batna
315,05026,Medina,Medina Centre,Ichemoul,05,Batna
316,05027,Seggana,Route De Barika,Seggana,05,Batna
317,05028,Barika Ben Baatouche,Cité 1000 Logts,Barika,05,Batna
318,05029,N'Gaous Ras El Ain,Cité Ras El Ain,N'gaous,05,Batna
319,05030,Merouana 8 Mai 1945,Rue 5 Juillet,Merouana,05,Batna
320,05031,Ain Yagout,Ain Yagout Centre,El Madher,05,Batna
321,05032,Ain Djasser,Centre Ville A. Djasser,Ain Djasser,05,Batna
322,05033,Ali Nemeur,Cité Ali Nemeur,Merouana,05,Batna
323,05034,Merouana Houari Boumediene,Cité Houari Boumediene,Merouana,05,Batna
324,05035,Teniet El Abed,Teniet El Abed Centre,Theniet El Abed,05,Batna
325,05036,Oued Taga,Oued Taga Cité Nouvelle,Theniet El Abed,05,Batna
326,05037,M'Doukal,M'Doukal Centre,Barika,05,Batna
327,05038,Nouader,Nouader Route Menaa,Theniet El Abed,05,Batna
328,05039,Chemmora,Chemmora Centre,Chemora,05,Batna
329,05040,Batna Kechida,Batna Cité Kechida,Batna,05,Batna
330,05041,Bouzina,Bouzina Centre,Bouzina,05,Batna
331,05042,Arris Grine Belgacem,Cité 1052 Logts Arris,Arris,05,Batna
332,05043,Tifelfel,Tifelfel,Tkout,05,Batna
333,05044,M'Cil,M'Cil Centre,Ras El Aioun,05,Batna
334,05045,Bitam,Route Biskra Bitam,Barika,05,Batna
335,05046,Merabtine,Merabtine El Djezzar,Djezzar,05,Batna
336,05047,El Ksar,El Ksar,Merouana,05,Batna
337,05048,Ain Touta 1er Nov.,Rue Louchene Tahar,Ain Touta,05,Batna
338,05049,Foum Toub,Foum Toub,Ichemoul,05,Batna
339,05050,Ain Touta Hamada,Cité Hamada,Ain Touta,05,Batna
340,05051,Talkhempt,Talkhempt,Ras El Aioun,05,Batna
341,05052,Chelma,Route De Menaa,Menaa,05,Batna
342,05053,Nara,Nara,Menaa,05,Batna
343,05054,Chaabet Ouled Chelih,Chaabet Ouled Chelih,Batna,05,Batna
344,05055,Taxlent,Taxlent,Ouled Si Slimane,05,Batna
345,05056,Tagoust El Hamra,Tagoust El Hamra,Bouzina,05,Batna
346,05057,Boumaguer,Boumaguer,N'gaous,05,Batna
347,05058,T'Letz,T'Letz,Theniet El Abed,05,Batna
348,05059,Ouarka,Ouarka,Menaa,05,Batna
349,05060,Boussalah,Boussalah,Arris,05,Batna
350,05061,Baiou,Baiou,Theniet El Abed,05,Batna
351,05062,Boulhilet,Boulhilet Centre,Chemora,05,Batna
352,05063,Bou El Freiss,Bou El Freiss,Timgad,05,Batna
353,05064,Sefiane,Sefiane Route De Barika,N'gaous,05,Batna
354,05065,Touffana,Touffana Ouled Fadel,Timgad,05,Batna
355,05066,Ouled Sidi Slimane,Ouled Sidi Slimane,Ouled Si Slimane,05,Batna
356,05067,Guigba,Guigba,Ras El Aioun,05,Batna
357,05068,Djeriat,Djeriat,Ras El Aioun,05,Batna
